Id,Nation,Nom,Ingredients,GoodAdress,History,CreationDate,Price,Diet,link
11,Belgium,Moules-frites,"Moules, oignon, céleri, persil, beurre, vin blanc, sel, poivre, pommes de terre","Chez Léon — Bruxelles, Belgique","Les moules-frites sont l’un des plats les plus emblématiques de la gastronomie belge. Ce plat combine des moules cuites dans un bouillon parfumé avec des oignons, du céleri et du vin blanc, accompagnées de frites croustillantes. Très populaire en Belgique, il est souvent consommé dans les brasseries et restaurants traditionnels, notamment à Bruxelles.",XIXᵉ siècle,17.5,Poisson,https://belgicastore.com/fr/blog/5_recette-des-moules-frites-a-la-belge.html
12,Benin,Amiwo (riz rouge),"Riz, tomate/purée, oignon, huile, piment, laurier","Maquis Super Pili-Pili — Cotonou, Bénin","Amiwo (riz rouge) est un plat traditionnel associé à Benin. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Amiwo+%28riz+rouge%29
13,BurkinaFaso,Tô de mil & sauce gombo,"Farine de mil/maïs, eau, gombo, tomate, oignon, épices","Villa Kaya — Ouagadougou, Burkina Faso","Tô de mil & sauce gombo est un plat traditionnel associé à BurkinaFaso. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=T%C3%B4+de+mil+%26+sauce+gombo
14,Bangladesh,Bhuna Khichuri,"Riz, lentilles, oignon, gingembre, curcuma, cumin, ghee","Star Kabab & Restaurant — Dhaka, Bangladesh","Bhuna Khichuri est un plat traditionnel associé à Bangladesh. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Bhuna+Khichuri
15,Bulgaria,Banitsa,"Pâte filo, fromage (sirene), œufs, yaourt, beurre","HleBar — Sofia, Bulgarie","Banitsa est un plat traditionnel associé à Bulgaria. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Banitsa
16,BosniaAndHerzegovina,Ćevapi,"Viande hachée (bœuf ou mélange bœuf-agneau), ail, sel, poivre, oignon, pain plat (somun)","Ćevabdžinica Željo — Sarajevo, Bosnie-Herzégovine","Les ćevapi sont l’un des plats les plus emblématiques de la cuisine bosnienne. Il s’agit de petits rouleaux de viande hachée grillés, généralement servis dans un pain plat appelé somun, accompagnés d’oignons crus et parfois d’ajvar ou de crème. Ce plat est très populaire dans les Balkans et fait partie de la culture culinaire traditionnelle de Sarajevo.",Traditionnel,10,Viande halal,https://www.stoneline.de/fr/recette/cevapcici-faits-maison-avec-accompagnements
17,Belarus,Draniki,"Pommes de terre, oignon, œufs, farine, sel, poivre, huile","Restaurant Vasilki — Minsk, Biélorussie","Les draniki sont des galettes de pommes de terre très populaires en Biélorussie et considérées comme l’un des plats les plus traditionnels du pays. Elles sont préparées avec des pommes de terre râpées mélangées à de l’oignon, de la farine et des œufs, puis frites à la poêle. Ce plat est souvent servi avec de la crème fraîche et fait partie de la cuisine familiale biélorusse.",Cuisine traditionnelle biélorusse — XIXᵉ siècle,7.5,Végétarien,https://www.cuisineaz.com/recettes/draniki-galette-de-pommes-de-terre-bielorusse-113180.aspx
18,Belize,Belizean Rice and Beans,"Riz, haricots rouges, lait de coco, ail, oignon, thym, sel, poivre","Elvi’s Kitchen — San Pedro, Belize",Le rice and beans est l’un des plats les plus traditionnels du Belize. Il est généralement préparé avec du riz et des haricots rouges cuits dans du lait de coco et assaisonnés avec des herbes et des épices. Ce plat est très populaire dans la cuisine créole et est souvent servi lors des repas familiaux ou des fêtes locales.,Traditionnel,8,Végétarien,https://foreignfork.com/red-beans-and-coconut-rice/
19,Bolivia,Salteñas,"
Pâte, viande de bœuf ou poulet, pommes de terre, oignon, petits pois, œufs, olives, épices","Salteñería Paceña — La Paz, Bolivie","Les salteñas sont des chaussons fourrés très populaires en Bolivie, souvent consommés au petit-déjeuner ou en collation. Leur particularité est leur garniture juteuse et épicée contenant de la viande, des légumes et parfois des œufs et des olives. Ce plat est devenu un symbole de la gastronomie bolivienne et se retrouve dans tout le pays.",XIXᵉ siècle — Bolivie,15,Viande,https://www.remitly.com/blog/fr/mode-de-vie-et-culture/platsnationaux-saltenas-bolivias-national-dish-unveiled/
20,Brazil,Feijoada,"Haricots noirs, porc (saucisse, lard, viande salée), ail, oignon, laurier, riz, chou vert","Bar do Mineiro — Rio de Janeiro, Brésil","La feijoada est l’un des plats les plus emblématiques du Brésil. Il s’agit d’un ragoût de haricots noirs cuits avec différentes viandes de porc et servi traditionnellement avec du riz, du chou vert et parfois des tranches d’orange. Ce plat est très populaire dans tout le pays et est souvent consommé lors de repas conviviaux, notamment le week-end.",XIXᵉ siècle — Brezil,8.5,Viande,https://www.196flavors.com/fr/?s=Feijoada
21,BruneiDarussalam,Ambuyat,"Fécule de sagou, eau, accompagnements (légumes/sauces)","Tasek Brasserie — Bandar Seri Begawan, Brunei","Ambuyat est un plat traditionnel associé à BruneiDarussalam. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Ambuyat
22,Bhutan,Ema Datshi,"Piments, fromage, oignon, ail, beurre","Folk Heritage Restaurant — Thimphu, Bhoutan","Ema Datshi est un plat traditionnel associé à Bhutan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Ema+Datshi
23,Botswana,Seswaa,"Bœuf, oignon, sel, poivre (effiloché)",Le Baobab Seswaa — Botswana,"Seswaa est un plat traditionnel associé à Botswana. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Seswaa
24,CentralAfricanRepublic,Kanda ti nyma,"Boulettes (viande), cacahuète, tomate, oignon, épices",Chez Maman Kanda ti nyma — CentralAfricanRepublic,"Kanda ti nyma est un plat traditionnel associé à CentralAfricanRepublic. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Kanda+ti+nyma
25,Canada,Poutine,"Frites, fromage en grains, sauce brune","Casa Poutine — Montréal, Canada","Poutine est un plat traditionnel associé à Canada. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Poutine
26,Switzerland,Fondue moitié-moitié,"Fromages (gruyère/vacherin), vin blanc, ail, pain",La Table Fondue moitié-moitié — Switzerland,"Fondue moitié-moitié est un plat traditionnel associé à Switzerland. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Fondue+moiti%C3%A9-moiti%C3%A9
27,China,Jiaozi (raviolis),"Pâte, porc ou légumes, chou, ciboule, sauce soja","Saffron Jiaozi (raviolis) — Pékin, China","Jiaozi (raviolis) est un plat traditionnel associé à China. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Jiaozi+%28raviolis%29
28,CôteD'Ivoire,Attiéké & légumes,"Attiéké (manioc), oignon, tomate, concombre, citron",La Palmeraie Attiéké & légumes — CôteD'Ivoire,"Attiéké & légumes est un plat traditionnel associé à CôteD'Ivoire. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Atti%C3%A9k%C3%A9+%26+l%C3%A9gumes
29,Cameroon,Ndolé,"Feuilles de ndolé, pâte d’arachide, oignon, viande/poisson (option)",Le Baobab Ndolé — Cameroon,"Ndolé est un plat traditionnel associé à Cameroon. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Ndol%C3%A9
30,DemocraticRepublicOfCongo,Pondu (saka-saka),"Feuilles de manioc, huile de palme, oignon, ail, sel",Teranga Pondu (saka-saka) — DemocraticRepublicOfCongo,"Pondu (saka-saka) est un plat traditionnel associé à DemocraticRepublicOfCongo. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Pondu+%28saka-saka%29
31,RepublicOfCongo,Saka-saka,"Feuilles de manioc, huile de palme, oignon, poisson fumé (option)",Chez Maman Saka-saka — RepublicOfCongo,"Saka-saka est un plat traditionnel associé à RepublicOfCongo. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Saka-saka
32,Colombia,Bandeja paisa,"Haricots, riz, viande, banane plantain, œuf, avocat",La Cantina Bandeja paisa — Colombia,"Bandeja paisa est un plat traditionnel associé à Colombia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande,https://www.196flavors.com/fr/?s=Bandeja+paisa
33,CostaRica,Gallo Pinto,"Riz, haricots noirs, oignon, coriandre, sauce Lizano",Sabor Latino Gallo Pinto — CostaRica,"Gallo Pinto est un plat traditionnel associé à CostaRica. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Gallo+Pinto
34,Cuba,Ropa vieja,"Bœuf effiloché, tomate, poivron, oignon, ail, épices",La Cantina Ropa vieja — Cuba,"Ropa vieja est un plat traditionnel associé à Cuba. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Ropa+vieja
35,CzechRepublic,Svíčková,"Bœuf, légumes racines, crème, sauce, knedlíky",L'Auberge Svíčková — CzechRepublic,"Svíčková est un plat traditionnel associé à CzechRepublic. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,6.5,Viande,https://www.196flavors.com/fr/?s=Sv%C3%AD%C4%8Dkov%C3%A1
36,Germany,Kartoffelsalat," pommes de terre , bouillon de légumes ,moutarde, vinaigre blanc
d'huile d'olive , cornichons , oignon, sucre, persil , Ciboulette","Hofbräuhaus München — Munich, Allemagne","Le Kartoffelsalat est une salade de pommes de terre très populaire en Allemagne. Chaque région possède sa propre version : dans le sud elle est souvent préparée avec une vinaigrette à base de vinaigre et de moutarde, tandis que dans le nord on utilise parfois de la mayonnaise. C’est un plat traditionnel souvent servi lors des repas familiaux et pendant les fêtes.","XIXᵉ siècle, Allemagne",15,Vegetarien,https://cuisine.journaldesfemmes.fr/recette/354371-kartoffelsalat
37,Djibouti,Skoudehkaris,"Riz, agneau, oignon, cardamome, clou de girofle, épices",Le Baobab Skoudehkaris — Djibouti,"Skoudehkaris est un plat traditionnel associé à Djibouti. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande halal,https://www.196flavors.com/fr/?s=Skoudehkaris
38,Denmark,Smørrebrød,"Pain de seigle, hareng/saumon, garnitures, herbes",La Brasserie Smørrebrød — Denmark,"Smørrebrød est un plat traditionnel associé à Denmark. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Poisson,https://www.196flavors.com/fr/?s=Sm%C3%B8rrebr%C3%B8d
39,Dominican Republic,La Bandera,"Riz, haricots, viande, salade, banane plantain",La Cocina La Bandera — Dominican Republic,"La Bandera est un plat traditionnel associé à Dominican Republic. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,7.5,Viande,https://www.196flavors.com/fr/?s=La+Bandera
40,Algeria,Rechta,"Pâtes rechta (fines pâtes), poulet, pois chiches, oignon, navet et/ou courgette, huile, sel, poivre, cannelle, curcuma (optionnel), bouillon","La Grotte des Saveurs — 2, Rue Dr Cherif Saadane, Alger","La rechta est un plat traditionnel du nord de l’Algérie, très présent dans les repas de famille et les célébrations (fêtes, mariages, grandes occasions). Elle se distingue par ses pâtes fines et sa sauce blanche parfumée (souvent avec une touche de cannelle) et des pois chiches.",Traditionnel,13,Viande halal,https://www.zerda.eu/recettes/rechta/
41,Ecuador,Encebollado,"Thon, manioc, oignon rouge, coriandre, citron",El Mercado Encebollado — Ecuador,"Encebollado est un plat traditionnel associé à Ecuador. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Poisson,https://www.196flavors.com/fr/?s=Encebollado
42,Egypt,Koshari,"Riz, lentilles, pâtes, pois chiches, oignon frit, sauce tomate","Le Kilimandjaro Koshari — Le Caire, Egypt","Koshari est un plat traditionnel associé à Egypt. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Koshari
43,Eritrea,Zigni (wat),"Ragoût épicé, viande, berbere, oignon, ail, injera",Savane Zigni (wat) — Eritrea,"Zigni (wat) est un plat traditionnel associé à Eritrea. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande,https://www.196flavors.com/fr/?s=Zigni+%28wat%29
44,Estonia,Kiluvõileib,"Pain noir, sprats, œuf, beurre, herbes",Le Marché Kiluvõileib — Estonia,"Kiluvõileib est un plat traditionnel associé à Estonia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Poisson,https://www.196flavors.com/fr/?s=Kiluv%C3%B5ileib
45,Ethiopia,Injera & misir wat,"Injera (teff), lentilles, berbere, oignon, ail","Chez Maman Injera & misir wat — Addis-Abeba, Ethiopia","Injera & misir wat est un plat traditionnel associé à Ethiopia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Végétarien,https://www.196flavors.com/fr/?s=Injera+%26+misir+wat
46,Finland,Karjalanpiirakka,"Pâte de seigle, riz au lait, beurre à l’œuf",La Brasserie Karjalanpiirakka — Finland,"Karjalanpiirakka est un plat traditionnel associé à Finland. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Karjalanpiirakka
47,Gabon,Poulet Nyembwe,"Poulet, noix de palme, oignon, ail, piment",Le Baobab Poulet Nyembwe — Gabon,"Poulet Nyembwe est un plat traditionnel associé à Gabon. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande halal,https://www.196flavors.com/fr/?s=Poulet+Nyembwe
48,UnitedKingdom,Fish and chips,"Poisson pané, frites, sel, vinaigre","La Brasserie Fish and chips — Londres, UnitedKingdom","Fish and chips est un plat traditionnel associé à UnitedKingdom. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Poisson,https://www.196flavors.com/fr/?s=Fish+and+chips
49,Georgia,Khachapuri,"Pain, fromage, œuf, beurre",Le Bazar Khachapuri — Georgia,"Khachapuri est un plat traditionnel associé à Georgia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Khachapuri
50,Ghana,Jollof rice,"Riz, tomate, oignon, épices, poulet (option)",Chez Maman Jollof rice — Ghana,"Jollof rice est un plat traditionnel associé à Ghana. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Jollof+rice
51,Guinea,Riz gras,"Riz, tomate, oignon, huile, légumes, viande (option)",Le Baobab Riz gras — Guinea,"Riz gras est un plat traditionnel associé à Guinea. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Riz+gras
52,Gambia,Domoda,"Sauce arachide, tomate, oignon, épices, poulet (option)",Le Sahel Domoda — Gambia,"Domoda est un plat traditionnel associé à Gambia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Domoda
53,GuineaBissau,Caldo de mancarra,"Sauce arachide, tomate, oignon, poisson/poulet (option)",Chez Maman Caldo de mancarra — GuineaBissau,"Caldo de mancarra est un plat traditionnel associé à GuineaBissau. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande halal,https://www.196flavors.com/fr/?s=Caldo+de+mancarra
54,EquatorialGuinea,Succotash local (soupe),"Légumes, haricots, banane plantain, viande/poisson (option)",Chez Maman Succotash local (soupe) — EquatorialGuinea,"Succotash local (soupe) est un plat traditionnel associé à EquatorialGuinea. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Succotash+local+%28soupe%29
55,Greece,Moussaka,"Aubergine, viande hachée, tomate, béchamel, épices",La Brasserie Moussaka — Greece,"Moussaka est un plat traditionnel associé à Greece. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Moussaka
56,Greenland,Suaasat,"Soupe, viande (phoque/renne), oignon, riz/orge",El Fogón Suaasat — Greenland,"Suaasat est un plat traditionnel associé à Greenland. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Suaasat
57,Guatemala,Pepián,"Sauce épaisse, tomate, piment, graines, poulet (option)",Sabor Latino Pepián — Guatemala,"Pepián est un plat traditionnel associé à Guatemala. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Pepi%C3%A1n
58,Guyana,Pepperpot,"Ragoût, viande, manioc cassareep, épices",La Cocina Pepperpot — Guyana,"Pepperpot est un plat traditionnel associé à Guyana. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Pepperpot
59,Honduras,Baleadas,"Tortilla farine, haricots, fromage, crème",El Fogón Baleadas — Honduras,"Baleadas est un plat traditionnel associé à Honduras. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Baleadas
60,Croatia,Pašticada,"Bœuf mariné, vin, pruneaux, sauce, gnocchis",Le Vieux Port Pašticada — Croatia,"Pašticada est un plat traditionnel associé à Croatia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Pa%C5%A1ticada
61,Haiti,Griot,"Porc mariné, agrumes, piment, banane plantain",El Mercado Griot — Haiti,"Griot est un plat traditionnel associé à Haiti. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Griot
62,Hungary,Goulash,"Bœuf, paprika, oignon, pomme de terre, carotte",La Cantine Goulash — Hungary,"Goulash est un plat traditionnel associé à Hungary. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Goulash
63,Indonesia,Nasi goreng,"Riz sauté, sauce soja, œuf, légumes, poulet (option)","Saffron Nasi goreng — Jakarta, Indonesia","Nasi goreng est un plat traditionnel associé à Indonesia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8.5,Viande halal,https://www.196flavors.com/fr/?s=Nasi+goreng
64,India,Thali végétarien,"Riz/chapati, dal, légumes, chutneys, épices","Silk Road Thali végétarien — New Delhi, India","Thali végétarien est un plat traditionnel associé à India. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Végétarien,https://www.196flavors.com/fr/?s=Thali+v%C3%A9g%C3%A9tarien
65,Ireland,Irish stew,"Agneau, pomme de terre, carotte, oignon, thym",La Brasserie Irish stew — Ireland,"Irish stew est un plat traditionnel associé à Ireland. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,15,Viande,https://www.196flavors.com/fr/?s=Irish+stew
66,Iran,Ghormeh sabzi,"Herbes, haricots rouges, citron noir, agneau (option), riz","Jade Ghormeh sabzi — Téhéran, Iran","Ghormeh sabzi est un plat traditionnel associé à Iran. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande halal,https://www.196flavors.com/fr/?s=Ghormeh+sabzi
67,Iraq,Masgouf,"Carpe, citron, épices, accompagnements",Silk Road Masgouf — Iraq,"Masgouf est un plat traditionnel associé à Iraq. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,13,Viande halal,https://www.196flavors.com/fr/?s=Masgouf
68,Iceland,Plokkfiskur,"Poisson, pomme de terre, oignon, béchamel, beurre",L'Auberge Plokkfiskur — Iceland,"Plokkfiskur est un plat traditionnel associé à Iceland. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,4,Poisson,https://www.196flavors.com/fr/?s=Plokkfiskur
69,Israel,Challah,"Farine de blé, eau, levure boulangère, œufs, sucre (ou miel), huile (souvent végétale), sel, graines de sésame ou pavot (optionnel)","Marché Mahane Yehuda (boulangeries) — Jérusalem, Israël","La challah (hallah) est une brioche/pain tressé emblématique consommé pour Shabbat et les fêtes juives. En Israël, elle est très présente dans les boulangeries et sur les tables familiales, avec des variantes (graines, miel, formes spéciales selon les fêtes).",Traditionnel,8.5,Végétarien,https://www.myjewishlearning.com/the-nosher/classic-challah-recipe/
